留学咨询顾问,酒店/旅游,广州信旅出国咨询服务有限公司,大专,8千-1万,1年,广州
嵌入式软件工程师,医疗设备/器械,常州博恩中鼎医疗科技有限公司,本科,1.5-2万·13薪,5-7年,常州
采购员,汽车零配件,宁波捷司科技有限公司,大专,5-8千·13薪,2年,宁波
区域销售经理（驻济南）,医疗设备/器械,江苏钱璟医疗器械有限公司,大专,15-20万/年,3-4年,济南
激光工艺工程师（龙岗）+包住,仪器仪表/工业自动化,深圳市大德激光技术有限公司,本科,1-2万,1年,深圳
猪场综合员,农/林/牧/渔,深圳市京基智农时代股份有限公司,本科,5.5-6千,1年,茂名
装配工艺工程师（门板）,汽车,重庆双英汽车配件制造有限公司,大专,8千-1万,5-7年,重庆
区域大客户销售经理,交通/运输/物流,近铁国际物流（中国）有限公司上海分公司,大专,2-3万·13薪,5-7年,上海
高级自动化机械工程师,仪器仪表/工业自动化,深圳市大德激光技术有限公司,本科,2-4万,10年以上,深圳
材料化学行业销售工程师,检测，认证,上海微谱检测科技集团股份有限公司,本科,1.5-3万·13薪,1年,上海
注塑模具工程师,汽车,重庆双英汽车配件制造有限公司,大专,8千-1万,3-4年,重庆
合作律师,法律,广东笃一律师事务所,本科,5千-1万,1年,广州
FAE经理(MCU),电子技术/半导体/集成电路,上海道径电子科技有限公司,本科,2-2.5万,5-7年,上海
中级结构工程师,新能源,珠海英搏尔电气股份有限公司,本科,1.3-1.8万·13薪,3-4年,珠海
FCT设计工程师,电子技术/半导体/集成电路,苏州易德龙科技股份有限公司,本科,8千-1.2万,3-4年,苏州
生产部工艺技术员,制药/生物工程,嘉兴恒杰生物制药股份有限公司,大专,5-7千,1年,嘉兴
财务主管（总账会计）,农/林/牧/渔,广西金陵农牧集团有限公司,大专,6-9千,1年,南宁
IT技术支持,通信/电信/网络设备,浙江春芽科技有限公司,中技/中专,4-8千,1年,杭州
计划工程师,汽车,法雷奥汽车内部控制（上海）有限公司,本科,1-1.5万,3-4年,上海
质量主管-Quality Supervisor,机械/设备/重工,圣戈班（中国）投资有限公司,本科,1.2-2万·15薪,5-7年,上海
财务主管（总账会计）,农/林/牧/渔,广西金陵农牧集团有限公司,大专,6-9千,1年,南宁
第三方纺织品/服装检验员（福建）,检测，认证,宁波中普商品信息咨询服务有限公司上海分公司,大专,3.5-4千·13薪,1年,上海
生产经理,多元化业务集团公司,上海鹰觉科技有限公司,大专,6-9千,3-4年,上海
少儿英语老师,教育/培训/院校,瑞思学科英语,本科,5-8千,无需经验,中山
Key Account Manager 大客户经理,汽车,布雷博中国,本科,20-25万/年,8-9年,嘉兴
